transaction_id,timestamp,input_address,output_address,amount_btc,input_count,output_count,transaction_size,fee_btc,block_height,time_to_next_transaction,unique_counterparties,scenario,label
7066010c8802f566f539d6272a3f054282450939a05f6648abb0e8b678eed8e5,2026-08-01T00:07:42+00:00,bc1qb014446a0ba0131311813474f75a5caea8,bc1qeec3de1a2fd8bd53c2de0e9103679f3321,71.9085,22,1,3456,0.0042,850000,402,23,fan_in,suspicious
ee3260ecc0923a54eca5450edf8c35b0d1d427b98f009af9fd3f43ba8e94b3fc,2026-08-01T02:23:57+00:00,bc1qb52b8e343a993efef6a321fe3a22dd628d,bc1qc76a46633b94c3c11066dfcd442d49db69,1.695,1,2,221,0.00022,850000,8517,3,normal,normal
75f7b3bfe654e761a382d2b5457ae58cd3b0d6a69bcb1fbc50bc5e7567cfd322,2026-08-01T04:31:48+00:00,bc1q9413807053485871a87e4a27bff7b33a70,bc1qba522973761b0012455fe9186c516bb78a,0.5893,1,1,242,0.000109,850000,16128,2,normal,normal
421da6ded74fbc66bac92508dba5354c9f45bba149e17de68f8c917ad815a6e8,2026-08-01T00:46:12+00:00,bc1q011a9be4ebb565f3091bddd1b14aa39f3c,bc1q64fa6194cd04cafbfdb2f28237907193d8,49.3664,29,1,4492,0.0042,850000,2532,30,fan_in,suspicious
ca5193d61f61067ffe4d67c653ebc77d872111e3c26397da95cfbd93b8493ba9,2026-08-01T00:10:26+00:00,bc1q6a85614cb56c2b35aa2322c6fde50a2741,bc1qa97b4dceff096fc37bc4781becc881cc5e,64.3225,1,17,728,0.0035,850000,326,18,fan_out,suspicious
46a02b429dd3a6f326cb7ca0f857c48e6ddba8a656462ecab55647aafec2316a,2026-08-01T00:34:13+00:00,bc1q2962caf131d227fc1f1c41b9162e8e5480,bc1q2cf7556db38630221b4b9e6b4bdb3c6561,39.451,21,1,3308,0.0042,850001,1693,22,fan_in,suspicious
857652662e88b71808d4a66aa68f85be7e8eac9ace542da929ed5bccf1e90511,2026-08-01T00:23:29+00:00,bc1q02be98e76e71fe50f497882213462b55e6,bc1q9x087v2n5k4h3j2m1p9l8k7j6h5g4f3d2s1a0,10.6216,1,2,225,0.002,850001,989,3,risky_neighbor,suspicious
6729ac5de831e9be896c78ef3b352ae2b9e70e40da0295cae169e98807c28dc2,2026-08-01T07:10:06+00:00,bc1q45e5d9603766b32106980eaed66c87a866,bc1qba8a73905250615aef3b0b7a0934999a17,2.1203,2,1,243,0.000262,850001,25326,3,normal,normal
0721bae6101ee253e2a82230fb43dde35b0d0fcfd4241eae79953249a1666500,2026-08-01T00:10:01+00:00,bc1q751f17a8eca5bdebaac963fbf176aaa341,bc1qc95c458c4d6b6c01e23d348c4647de5437,43.9246,1,2,225,0.0015,850001,61,3,rapid_forwarding,suspicious
d08ccf0f5aa8136a066faaff0a506e2980f4c18aa3301a633d8d0d905e5bfdd2,2026-08-01T10:42:58+00:00,bc1q2b2a502e06e9542c5f79e6becb29e1969b,bc1qe155ca4ed2ff33c3056482a5ad63d18a30,0.74,2,1,242,0.000124,850001,37978,3,normal,normal
